TypeInput	RA	DE	Plx	e_Plx	RV	e_RV	RVdist	pmRA	e_pmRA	pmDE	e_pmDE	Source
1	22 38 52.176	58 46 44.250	0.49327676	0.0404	0	0	0	-7.205	0.046	-5.202	0.040	2008354367200292608
1	22 38 24.950	59 12 37.247	0.37043294	0.0395	0	0	0	1.174	0.042	-1.572	0.041	2008448757707959168
1	22 40 17.647	59 08 40.279	0.35885305	0.0432	0	0	0	-6.860	0.049	-2.089	0.043	2008438411122139776
1	22 37 45.180	59 05 30.861	0.40492994	0.0455	0	0	0	-3.900	0.045	-3.469	0.045	2008423572019192960
1	22 39 21.389	59 03 49.109	0.46988487	0.0413	0	0	0	-6.422	0.044	-3.626	0.042	2008432058875273600
1	22 38 48.543	59 09 35.535	0.34495205	0.0410	0	0	0	-6.063	0.045	-2.408	0.041	2008435769722928896
1	22 41 13.211	59 07 48.587	0.35498493	0.0439	0	0	0	-5.380	0.043	-2.766	0.045	2008390930266990976
1	22 40 30.211	59 02 03.415	0.43291434	0.0408	0	0	0	-4.813	0.043	-1.268	0.040	2008390002554066816
1	22 41 25.696	59 01 57.443	0.40817392	0.0389	0	0	0	-3.808	0.042	-3.089	0.042	2008386532220548352
1	22 38 00.305	59 07 25.515	0.49729284	0.0447	0	0	0	2.076	0.046	-0.419	0.044	2008423705154080768
1	22 39 05.575	59 00 21.190	0.35912401	0.0441	0	0	0	0.489	0.044	0.201	0.041	2008430169089361536
